Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha_Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;HOMICIDIO;10/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;11/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11/1/2016;FLAGRANTE;HOMBRE;24;COLOMBIA
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11/1/2016;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11/1/2016;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;11/1/2016;FLAGRANTE;HOMBRE;32;COREA
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;11/1/2016;FLAGRANTE;MUJER;30;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11/1/2016;FLAGRANTE;HOMBRE;37;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;11/1/2016;FLAGRANTE;HOMBRE;27;COLOMBIA
ZONA 9;DMQ;QUITO;VARIOS;11/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11/1/2016;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;11/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;11/1/2016;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;11/1/2016;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;12/1/2016;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;12/1/2016;BOLETA;HOMBRE;52;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;12/1/2016;FLAGRANTE;HOMBRE;48;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;12/1/2016;BOLETA;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;12/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;12/1/2016;FLAGRANTE;HOMBRE;80;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;12/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
