Zona,Subzona,Canton,Presunta_Subinfraccion,Fecha_Detencion,Flagrante/Boleta,Sexo,Edad,Nacionalidad
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-05,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-05,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-06,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-06,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-06,SI,MUJER,41,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-06,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-06,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A CARROS,2016-01-06,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-06,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,ACOSO SEXUAL,2016-01-06,SI,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-06,SI,MUJER,28,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-06,SI,MUJER,28,ECUADOR
ZONA 9,DMQ,QUITO,USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD,2016-01-06,SI,HOMBRE,39,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A UNIDADES ECONOMICAS,2016-01-07,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-07,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-07,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,ACOSO SEXUAL,2016-01-07,NO,HOMBRE,61,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-07,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-07,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-07,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,ACOSO SEXUAL,2016-01-07,SI,HOMBRE,67,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-01-07,SI,MUJER,40,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-01-07,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-07,SI,MUJER,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-07,SI,MUJER,18,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-07,SI,MUJER,18,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-07,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-01-07,SI,MUJER,19,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-07,SI,HOMBRE,40,ECUADOR
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,49,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-01-08,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-08,SI,HOMBRE,26,COLOMBIA
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-08,SI,HOMBRE,22,COLOMBIA
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-01-08,SI,HOMBRE,41,COLOMBIA
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-08,SI,HOMBRE,33,CUBA
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,MUJER,37,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,50,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,34,ECUADOR
ZONA 1,IMBABURA,IBARRA,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,47,COLOMBIA
ZONA 8,DMG,GUAYAQUIL,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,36,ECUADOR
ZONA 8,DMG,GUAYAQUIL,ASOCIACION ILICITA,2016-01-08,NO,HOMBRE,52,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,MUJER,38,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-01-08,NO,MUJER,31,ECUADOR
ZONA 9,DMQ,QUITO,PLAGIO O SECUESTRO PERSONAS,2016-01-08,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-08,SI,HOMBRE,34,ECUADOR
ZONA 2,NAPO,TENA,VARIOS,2016-01-08,NO,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-08,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-08,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-08,SI,HOMBRE,53,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-09,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-09,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-09,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A UNIDADES ECONOMICAS,2016-01-09,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A UNIDADES ECONOMICAS,2016-01-09,SI,MUJER,18,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-09,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-09,NO,HOMBRE,54,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-09,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD,2016-01-09,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD,2016-01-09,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-09,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-09,SI,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-09,SI,MUJER,35,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-09,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-09,SI,MUJER,32,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-09,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-10,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,MUJER,35,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-10,SI,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-10,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-10,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,NO,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,HOMICIDIO,2016-01-10,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-10,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-11,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-11,SI,HOMBRE,24,COLOMBIA
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-11,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-11,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-11,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-11,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-11,SI,HOMBRE,32,COREA
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-11,SI,MUJER,30,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-11,SI,HOMBRE,37,COLOMBIA
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-01-11,SI,HOMBRE,27,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-01-11,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-11,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-11,SI,MUJER,24,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-11,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-11,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-11,SI,HOMBRE,39,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-11,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-12,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-12,NO,HOMBRE,52,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-12,SI,HOMBRE,48,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-12,NO,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-12,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,ACOSO SEXUAL,2016-01-12,SI,HOMBRE,80,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-12,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VIOLACION,2016-01-12,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-12,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-12,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-12,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-12,SI,HOMBRE,41,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-12,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-12,SI,MUJER,41,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-12,SI,MUJER,36,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-12,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-12,NO,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-12,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-13,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-13,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-13,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-01-13,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-13,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-01-13,SI,MUJER,20,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-13,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-13,SI,HOMBRE,36,PERU
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-01-13,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-13,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-13,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-01-13,SI,HOMBRE,31,ECUADOR
